Bill Of Materials
"Report Written:","Friday, April 18, 2025"
"Project Path:","D:\Userdata\Documents\Laptop\01 PCB Design\01 Internal Ports\rev. 04\Laptop2.prj"
"Design Path:","D:\Userdata\Documents\Laptop\01 PCB Design\01 Internal Ports\rev. 04\Laptop2.pcb"
"Design Title:",""
"Created:","14.09.2023 00:17:33"
"Last Saved:","26.11.2024 18:41:25"
"Editing Time:","12955 min"
"Units:","mm (precision 3)"


"Components on Top Side"


"Names","Part Number","Resistance","Capacitance","Voltage Rating","Precision","Quantity"
"CF1, CF6-8",,,,,,4
"J4, J6, J9","RF20-10A-L-00-50-G-T/R",,,,,3
"J5, J7, J10","RSP-122811-01",,,,,3
"JUI, JUP1","12401598E4#2A",,,,,2
"JUP2",,,,,,1
"RM1",,"1k",,,,1
"RUI1-2",,"5.1k",,,,2
"Sub-total:",,,,,,16

"Components on Bottom Side"



"Capacitors"

"Names","Part Number","Resistance","Capacitance","Voltage Rating","Precision","Quantity"
"C1-4, C6-8",,,,,,7
"C5, C9",,,"0.1uf","16V",,2
"C10","GRM31CR61A107MEA8L",,"100uf","10V",,1
"Sub-total:",,,,,,10

"Resistors"

"Names","Part Number","Resistance","Capacitance","Voltage Rating","Precision","Quantity"
"R1",,"27k",,,,1
"Sub-total:",,,,,,1

"Others"

"Names","Part Number","Resistance","Capacitance","Voltage Rating","Precision","Quantity"
"CF2-5, C_P1-3",,,,,,7
"CONN1",,,,,,1
"CX1-2, C_F10",,,,,,3
"C_U1-3, C_U10-11, C_U13",,,"0.1uf","16V",,6
"C_U5-7","GRM31CR61A107MEA8L",,"100uf","10V",,3
"FL1","LCF080602A900TG",,,,,1
"IC1","MPM3810GQB-12-Z",,,,,1
"IC2","MPM3810GQB-33-Z",,,,,1
"ICM","USB5744T-I/2G",,,,,1
"J1-3",208294-0040,,,,,3
"J8, J_U1-3","AP22653FDZ-7",,,,,4
"R#M1",,"12k",,,,1
"RM2-4",,"50k",,,,3
"RM5",,"1k",,,,1
"RX",,,,,,1
"R_U1-3",,"27k",,,,3
"YX","ECS-250-10-37B2-CKM-TR",,,,,1
"Sub-total:",,,,,,41

"Totals for Bottom Side"

,,,,,,"Quantity"
,,,,,,52

"Grand Totals"

,,,,,,"Quantity"
,,,,,,68
